Timestamp,Are you a student or staff? ,"If you are a student, which batch are you from?",Gender,1. What is the type of beverage that you consume daily other than water? ,2. What is your favorite type of beverage? ,3. How often do you drink your favorite beverage?,"4. What is the beverage brand that vKirirom doesn't have and you recommend them to sell? (Ex. Monster, Dutch Milk, . . .)","How much are you willing to spend on your favorite beverage per day? (Input as Cambodia Currency, Riel)"
1/14/2021 16:35:12,Student,Batch 6,Male,Carbonated Drinks,Carbonated Drinks,Once in a few days,Sprite,3000
1/14/2021 16:36:08,Student,Batch 6,Female,Carbonated Drinks,Carbonated Drinks,Once in a few days,"Dutch Milk, Pocari sweat, Aquarius",2000 Riel -5000 Riel
1/14/2021 16:36:14,Student,Batch 6,Male,Energy Drinks,Water,Everyday,Aquarius,5000
1/14/2021 16:40:58,Student,Batch 6,Male,Coffee,Juice,Once a week,Dutch Milk,4000
1/14/2021 16:41:21,Student,Batch 8,Male,Juice,Juice,Everyday,Orange juice,4000៛
1/14/2021 16:46:00,Student,Batch 8,Female,Coffee,Water,Everyday,dutch milk,3000r
1/14/2021 16:48:47,Student,Batch 8,Female,Energy Drinks,Energy Drinks,Everyday,milk,2500-4000
1/14/2021 16:51:24,Student,TM 2,Female,Coffee,Coffee,Everyday,Gatorade,2.50$
1/14/2021 16:53:56,Staff,TM 2,Male,Coffee,Coffee,Everyday,I have no idea,3000
1/14/2021 16:54:42,Student,Batch 6,Male,Energy Drinks,Energy Drinks,Once in a few days,Soy milk ,3000
1/14/2021 17:04:55,Student,Batch 8,Male,Coffee,Coffee,Everyday,Fresh Milk,1$
1/14/2021 17:07:06,Student,TM 2,Female,Juice,Water,Everyday,Yeo's,3500
1/14/2021 17:38:29,Student,Batch 8,Female,Carbonated Drinks,Carbonated Drinks,Once a week,Milk tea,Cambodia riels
1/14/2021 18:07:41,Student,Batch 4,Female,Coffee,Coffee,Everyday,Starbucks ,20000
1/14/2021 19:28:01,Student,Batch 4,Male,Juice,Juice,Everyday,"Freshie, Dutch Mill yoghurt",Around 1$
1/14/2021 19:49:09,Student,Batch 6,Female,Juice,Tea & Coffee,Everyday,Any brand is fine,"Up to 5,000 Riel"
1/14/2021 21:01:32,Student,Batch 8,Male,Energy Drinks,Carbonated Drinks,Once in a few days,green tea,3000
1/14/2021 21:07:22,Student,Batch 4,Male,Juice,Juice,Once a week,"fresh juice, like passion fruit shake",3000
1/14/2021 22:04:45,Student,TM 1,Male,Energy Drinks,Juice,Once in a few days,Dutch milk,4000
1/14/2021 22:19:59,Student,TM 1,Female,Coffee,Coffee,Once in a few days,"Foremost plain milk, Pocarisweat",1-2$
1/14/2021 23:12:43,Student,Batch 4,Female,Coffee,Coffee,Everyday,Khmer beverage ,2000
1/15/2021 8:28:02,Student,Batch 6,Female,Carbonated Drinks,Coke,Once in a few days,Orange juice,5000r
1/15/2021 9:04:56,Student,Batch 4,Male,only water,water + milk + juice,Once in a month,Dutch Milk (both regular + yoghurt drink),10000
1/15/2021 9:33:27,Student,Batch 6,Male,NutriC,Juice,Everyday,"Indomilk, CoffeeMix",3000
1/15/2021 9:53:05,Student,Batch 4,Male,Energy Drinks,Water,Once in a few days,Yoe's ,2500r
1/15/2021 9:56:36,Student,Batch 4,Male,Energy Drinks,Energy Drinks,Once in a few days,tek kro lok,1$
1/15/2021 10:25:55,Student,Batch 4,Male,Coffee,Coffee,Everyday,Bubble Tea,5000
1/15/2021 10:31:10,Student,Batch 4,Male,Energy Drinks,Energy Drinks,Everyday,"Dutch Milk, C2",3000
1/15/2021 10:32:02,Student,Batch 4,Male,Coffee,Coffee,Everyday,"Dutch Milk, Maxim coffee",2$
1/15/2021 10:46:23,Student,Batch 4,Male,Lemon Tea,Lemon Tea,Once in a few days,Ensure,5000
1/15/2021 10:54:09,Student,Batch 8,Male,None,Milktea,Once in more than one month,Milk,2500
1/15/2021 10:54:30,Student,Batch 8,Male,Energy Drinks,Water,Everyday,M150,1000
1/15/2021 10:55:06,Student,Batch 8,Male,Juice,Carbonated Drinks,Once in a few days,Dutch Milk,2000
1/15/2021 11:07:24,Student,Batch 8,Male,Milk,Milk Tea,Once in more than one month,Milk,2500
1/15/2021 11:10:21,Student,Batch 8,Male,Coffee,Coffee,Once in a few days,pocari sweat,3000
1/15/2021 11:14:03,Student,Batch 8,Male,Juice,Water,Once a week,Dutch milk,5000
1/15/2021 11:14:28,Student,Batch 8,Female,Juice,Juice,Once a week,"-Juices,alovera drink",5000
1/15/2021 11:24:35,Student,Batch 8,Male,Coffee,Coffee,Once in a month,milk tea,1000
1/15/2021 12:15:14,Student,Batch 4,Male,Juice,Juice,Once in a few days,Fruit Juice,6000
1/15/2021 12:16:34,Student,Batch 8,Male,Juice,Juice,Once in a few days,Milo,5000
1/15/2021 12:44:54,Student,Batch 6,Male,Coffee,Water,Everyday,Dutch Milk,4000
1/15/2021 12:47:22,Student,Batch 4,Male,Lemon Tea,Lemon Tea,Once in a few days,Ensure,5000
1/15/2021 12:51:14,Student,Batch 4,Female,Juice,Juice,Once in a month,Soya milk,6000
1/15/2021 12:52:42,Student,Batch 4,Male,Juice,Juice,Once in a month,Fresh juice/Shake,4000
1/15/2021 13:29:25,Student,Batch 8,Male,Coffee,Coffee,Everyday,Coffee machine,10000
1/15/2021 13:42:18,Student,Batch 8,Male,Coffee,Coffee,Everyday,nescoffee,5000
1/15/2021 13:44:08,Student,Batch 8,Male,Coffee,Coffee,Everyday,Dutch milk,5000
1/15/2021 13:44:54,Student,Batch 8,Female,Milk,Juice,Once in a few days,Milk ,2000
1/15/2021 13:48:17,Student,Batch 8,Male,Energy Drinks,Energy Drinks,Once a week,Monster,10000
1/15/2021 14:04:07,Student,Batch 6,Male,Coffee,Coffee,Everyday,Dutch milk,3000
1/15/2021 14:22:44,Student,Batch 6,Male,Carbonated Drinks,Carbonated Drinks,Once a week,Pepsi,2500
1/15/2021 14:24:42,Student,Batch 6,Others,Coffee,Coffee,Everyday,Pocari Sweat,5000
1/15/2021 14:47:41,Student,Batch 6,Others,Coffee,Carbonated Drinks,Everyday,Dutch Milk,5000
